system:index,AMOSTRAS,AMOSTRA_AM,BioNB,CARTA_2,CLASS_2022,DECLIVIDAD,LAT,LON,NEW_PROB,NEW_WEIGHT,PESO_VOT,PROB_AMOS2,StateNB,TARGETID,VAL_PESO,classification,reference,year,.geo
00000000000000005089_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.16134899,-42.2235514,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17144,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005091_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.52004629,-42.6164745,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,2329,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005095_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.26618239,-43.187803,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,11884,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005096_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.83418257,-42.7711644,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,3213,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005097_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.09774827,-43.9095095,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17008,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000509e_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.44566578,-43.1589671,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17175,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050a5_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.61329141,-43.0072417,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,13879,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050ad_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.25728907,-43.3036857,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,1988,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050bb_0,,0,4,SA-23-Z,PASTAGEM,D2,-3.17967463,-42.1906731,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,11928,0.3333333333333333,3,15,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050bf_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.00612011,-43.8003642,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17230,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050c1_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.60924899,-43.1705554,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,3082,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050cb_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.00585062,-43.8337816,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17250,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050cd_0,,0,1,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.1508387,-44.1407359,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17252,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050ce_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.39365333,-43.613874,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17253,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050d4_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-2.60214773,-43.4303482,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17268,0.3333333333333333,5,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050d6_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.15272517,-42.1790848,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17271,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050d7_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.32142878,-43.8822906,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17273,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000050da_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.72297571,-43.7214023,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17280,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
